x01_signal_a,x02_signal_b,x03_signal_c,x04_factor_a,x05_factor_b,x06_factor_c,x07_load,x08_complexity,x09_regularization,x10_interaction_base,target_y
0.27885360,-0.94997849,0.27502932,-1.10715705,-0.10207063,2.67653870,0.24732012,0.90000000,0.01599696,0.36762114,2.39412613
0.40264995,-0.16096036,0.44920905,-0.88723717,-0.47650890,2.60790096,0.33952977,0.20000000,0.00153282,0.49703284,4.94272258
0.20745206,0.61425655,0.72973179,0.14491237,0.76919126,1.65612189,0.35135063,0.20000000,0.00123495,-0.14090850,1.15995786
-0.84041605,-0.53441823,0.10100143,-0.88810559,0.65490905,1.90705333,0.31135965,0.20000000,0.01652959,-0.19826551,-1.75996823
-0.67319501,-0.24108912,0.98952335,0.55999904,-1.13836715,2.52855576,0.07259279,1.00000000,0.05658942,-0.37133055,-0.43667036
-0.20873620,0.82909518,0.45885185,-0.94047933,1.07271457,0.73988252,0.29157952,0.70000000,0.00529655,-0.39140708,-2.70649861
-0.01296833,0.51156432,0.86110291,-1.38863472,0.64764653,1.78922709,0.24147339,0.90000000,0.05266953,-0.05936584,-0.23175011
0.36342074,0.07394066,0.26682519,0.56384719,0.09209518,0.33465652,0.11134395,0.50000000,0.08785697,0.19920342,1.56133220
-0.78717835,0.25060039,0.84166935,0.03065153,0.24427224,0.48464711,0.31970541,0.50000000,0.00301234,-0.46234940,-1.71918664
-0.84248590,0.46381519,0.81602325,1.91193797,1.03388297,1.59811851,0.11177923,0.40000000,0.07208203,-0.68494404,0.02675360
0.42589795,-0.20201540,0.67168696,-0.50631799,0.70805588,0.74371684,0.70083951,0.10000000,0.00287001,0.25878585,0.94335856
-0.85828530,-0.52399073,0.66897778,-1.14305277,-0.88762853,0.39693555,0.18886381,0.20000000,0.02079531,-0.38063114,-1.29541476
0.72767350,-0.89165763,0.65345549,0.58471901,1.19879952,2.40177753,0.10191091,0.30000000,0.00360654,0.86526486,4.26046129
-0.11373851,0.72269821,0.55032531,-1.79764668,1.81280825,2.99784741,0.30579184,0.30000000,0.00649872,-0.59567167,-2.74838310
0.80488573,-0.67072576,0.00215538,-0.43831297,1.25605961,0.85574769,0.29631689,0.80000000,0.00203983,0.65747538,1.12414799
0.15836058,0.08439040,0.74797556,-1.77133891,2.01578525,1.75253278,0.41324754,0.20000000,0.05042955,0.10217342,-2.95166295
0.72363840,-0.19244890,0.94159613,0.27870164,-0.20039218,0.24595022,0.42965754,0.60000000,0.00300173,0.49490249,1.88547830
-0.40000584,-0.36764561,0.75186449,-1.70982754,0.72715013,1.37485657,0.11489391,0.20000000,0.05735093,-0.14092682,-1.90696598
0.66748991,0.40707985,0.61167777,1.94893225,-0.05688917,2.45131241,0.32555239,0.90000000,0.00204595,0.22527762,4.08101240
-0.31423942,0.37499426,0.85291282,0.02163623,0.53930629,0.75336376,0.60518692,0.30000000,0.01880298,-0.35334900,-0.95417492
0.10336084,-0.14462616,0.00966970,-1.69902456,1.28521266,1.63677087,0.64597416,0.50000000,0.00536171,-0.05421302,-1.94107900
-0.92021024,-0.28438154,0.68206669,0.66773364,-0.87401115,1.06103590,0.44256664,0.30000000,0.05792051,-0.24474144,-2.09956117
-0.33562906,0.86163177,0.80223514,1.45625611,0.23477449,2.36212353,0.06707619,0.50000000,0.04375954,-0.63376694,-0.50416842
0.32006637,-0.20306804,0.27860306,-1.72231698,-0.41094337,2.31997991,0.17926927,0.60000000,0.07559173,0.51164676,4.17673417
-0.64286437,0.92506863,0.26546636,-1.56638981,-1.18425844,0.94103194,0.37487280,0.50000000,0.00122680,-0.67829614,-1.38700134
0.61302174,0.37371429,0.94026312,0.94815077,0.37898079,0.59110539,0.21381099,0.50000000,0.01033344,0.16514322,1.80332054
0.39441683,0.10882496,0.19184009,0.65971774,-0.96354484,0.52208203,0.21532999,0.40000000,0.00724063,0.33031252,1.06985316
-0.07002362,-0.11568040,0.21370140,-0.10725526,-0.56194552,2.70354248,0.07788979,0.40000000,0.02216110,0.01694638,3.12307058
-0.95114922,-0.51031491,0.47513634,1.39895078,0.74251984,1.88929614,0.15065607,0.10000000,0.06099857,-0.31171495,-0.07326333
0.55684081,-0.56231773,0.80410986,0.78364711,-1.28027963,1.39364965,0.46922523,0.80000000,0.02163493,0.72000686,1.39986198
0.90007922,0.78285185,0.61265232,0.87709585,-1.50676803,1.64361585,0.35349805,0.90000000,0.00931524,0.22011930,1.06682065
0.42708973,-0.53101284,0.33584754,1.57210733,0.85935699,0.24173297,0.20700267,0.70000000,0.00653430,0.34867659,2.97260656
-0.58633122,-0.15971296,0.90483848,0.33631766,-0.52932819,2.29678373,0.13510730,0.70000000,0.01192453,-0.51074817,0.21632002
0.79562269,-0.02354104,0.27293531,-0.05743202,-1.42832133,1.16657161,0.30319599,0.30000000,0.09150482,0.23127716,2.64266747
0.18378555,0.32599951,0.08394746,-0.28554892,0.33946811,0.78046894,0.24837999,0.50000000,0.03191682,-0.07654930,0.26029016
-0.83618753,-0.96123343,0.53941905,1.99963131,-0.53096621,1.04988103,0.31703252,0.40000000,0.00250450,-0.04878136,-3.96006127
-0.74755805,0.33891769,0.56396958,-1.12814184,-0.42626287,0.50336743,0.50426108,0.50000000,0.00164512,-0.77865935,-1.77165783
0.35469457,0.91634568,0.39665444,0.86005882,0.11113417,0.22798943,0.56776612,1.00000000,0.04083720,-0.10932206,-0.35927537
-0.91786174,0.06549049,0.66152134,-1.72417305,-0.07662425,1.26017622,0.32075699,0.80000000,0.02597869,-0.59222999,-1.43853496
0.93094746,-0.45983521,0.80819922,0.15269163,0.51325448,1.45049251,0.32483333,0.20000000,0.00361290,0.55202940,3.47475985
0.13969929,0.33637694,0.33639662,-0.02277399,-0.42004441,1.06447490,0.16043993,0.90000000,0.00104786,0.07289913,2.12539285
0.44014933,-0.02284431,0.75816465,0.76243736,-0.10850363,1.93770870,0.45548812,0.40000000,0.00409649,0.15480398,2.35144605
0.06184386,-0.14899237,0.74593544,-0.67683481,-0.18564011,0.75421103,0.19821437,0.30000000,0.00241592,0.00546486,0.72749133
0.17917381,0.52041579,0.59679074,1.92204252,-0.64199475,2.49788509,0.24287265,0.30000000,0.00353690,0.04971262,1.09336516
0.39483479,-0.74744101,0.86846120,-0.03648522,0.72840176,1.40819083,0.47939040,0.80000000,0.00169112,0.42344047,1.65449066
0.15404231,0.37290204,0.15172701,1.24456831,0.37148275,2.84737693,0.08590656,1.00000000,0.03814887,-0.03453073,3.65786179
-0.09897107,-0.11455799,0.86016667,1.96012504,-0.38000657,1.82889274,0.53344281,0.20000000,0.00206117,0.14358785,-0.02144016
-0.99464855,-0.09899259,0.59381120,-0.83496284,0.28051525,0.69442870,0.41425931,0.50000000,0.03764056,-0.68198669,-2.86491537
0.86733692,-0.14972207,0.54456238,0.59053889,1.25644409,0.21422951,0.09859344,0.50000000,0.00755626,0.45803079,4.26139538
-0.19498296,-0.45550761,0.53998156,-0.24896455,0.13311587,1.79410999,0.53670451,0.40000000,0.08391164,0.14595784,0.82091530
0.90157256,0.99914483,0.67228158,-0.92195590,1.30151349,1.41150247,0.48676391,0.80000000,0.08671824,0.19171441,-0.73662005
-0.35788349,-0.79080023,0.16082485,-0.35341964,0.15353051,1.48640706,0.56279369,0.20000000,0.08717048,-0.01731689,-1.49130519
0.97623843,0.31532077,0.54259359,-0.34700972,0.28977312,2.26932946,0.45868830,0.50000000,0.00752025,0.56470500,4.94023048
0.94629363,0.21774333,0.23929746,-1.36648734,-0.38573625,1.65251702,0.32220125,0.30000000,0.00992547,0.45087051,3.73774262
-0.45315021,0.66944789,0.98024463,-1.02507638,-0.74648962,2.76560445,0.20768908,0.90000000,0.00342251,-0.57703824,1.43706453
0.67495185,0.15984677,0.65994075,1.46104238,0.02074918,1.33964218,0.20718750,0.60000000,0.05485338,0.42903490,2.82691134
-0.23405830,0.71202595,0.41077510,-0.72729469,-1.74427037,1.14369344,0.54420985,0.20000000,0.01126944,-0.38038813,-0.09637779
-0.18004276,0.30956265,0.15436122,-0.12203760,0.34242341,2.90761089,0.18107866,0.90000000,0.00575465,-0.30958330,2.64887665
0.51880362,0.74476603,0.03589910,-1.72631701,-1.22406696,2.99227777,0.60975764,0.20000000,0.00771538,-0.18502981,3.82021597
-0.90801806,0.59228693,0.29336778,-0.50063564,-1.62374391,0.43670939,0.21569234,0.20000000,0.01655707,-0.91632216,-2.41721997
-0.00466550,0.16631426,0.23218844,0.55161852,-1.14806038,2.69672560,0.25750517,0.60000000,0.09447206,-0.02461352,1.30523030
0.38062702,-0.08632837,0.30212167,1.99749426,1.94935226,2.56000638,0.12454340,0.50000000,0.00110632,0.32096561,8.58258644
-0.98380407,0.73013480,0.77831162,1.89441127,1.11967184,2.49851670,0.23331295,0.50000000,0.02267404,-0.98801014,0.55040986
0.67667423,0.25649621,0.90340370,0.58536244,-1.15426895,0.92679865,0.19954509,0.50000000,0.00450234,0.23412165,1.60140572
0.57302562,0.75292119,0.36585753,0.00717905,-0.06767250,2.74214686,0.73239909,0.20000000,0.00864297,0.11388290,2.75028967
-0.54877061,0.35264745,0.67440623,-0.41035402,0.61064139,2.53723345,0.34510169,0.20000000,0.00812030,-0.55387585,0.26654765
0.16912018,0.64483460,0.94029189,-1.56661559,0.01827654,2.65270454,0.41228724,0.80000000,0.06588329,-0.12958488,1.08533297
-0.72044597,0.89252307,0.30436458,-0.02950152,0.77588876,0.29157600,0.20136704,0.70000000,0.01495136,-0.82587115,-3.56758126
0.30984379,0.66738617,0.61565221,1.75621226,-0.22755047,0.65180905,0.29804463,0.60000000,0.01227246,0.09948193,0.04449011
-0.20372071,-0.62038288,0.12215972,1.39213275,-0.10464027,1.36415211,0.34132489,0.60000000,0.00307000,0.23470367,-0.24343110
-0.86277969,0.53031475,0.20715737,-1.13619459,0.48780143,0.44266254,0.18304952,0.10000000,0.00183487,-0.80801151,-4.15312130
0.17770584,-0.96843783,0.26536751,-1.49296583,1.09628452,1.26288167,0.23820363,0.40000000,0.07777344,0.69609657,-2.03293904
0.73396182,0.04290243,0.45804252,1.85610473,0.84761571,1.20485176,0.58557752,0.20000000,0.00178806,0.47431966,4.23515902
0.42430559,-0.23819120,0.59739186,-0.82040902,-0.74739249,1.51665322,0.40217608,0.90000000,0.02764903,0.37853287,3.70813195
-0.54301285,-0.32213676,0.45349890,-0.33604140,0.69776574,1.99532359,0.38518277,0.30000000,0.01296407,-0.12574029,0.42868559
-0.34070804,-0.75553743,0.35359808,0.66136208,-0.53108926,2.25085275,0.59278401,0.40000000,0.00203920,-0.13338859,-0.48431573
-0.29977201,0.11253095,0.11488531,-0.88572715,0.12641377,1.68289711,0.38447348,1.00000000,0.07213874,-0.09923860,0.36595857
-0.63916786,0.40539755,0.30898469,-0.64070137,-0.55411628,0.01831737,0.20908501,0.90000000,0.00269318,-0.64162258,-1.37791310
-0.25989382,0.44319194,0.77683562,0.27037423,0.22642160,0.47222969,0.42288322,0.80000000,0.01637390,-0.31313963,-0.49954782
